acl 2.4.0-1
acpi 1.8-2
ada 3.4.4-1
archlinux-keyring 20260707.1-1
attr 2.6.0-1
audit 4.1.4-2
base 3-3
bash 5.3.15-1
bat 0.26.1-2
binutils 2.46.1+r3+g046eeeef4721-1
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
clang 22.1.8-1
cmake 4.3.4-1
cmatrix 2.0-4
compiler-rt 22.1.8-1
containerd 2.3.2-1
coreutils 9.11-1
cppdap 1.58.0-3
cryptsetup 2.8.6-1
curl 8.21.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
default-cursors 3-1
device-mapper 2.03.41-1
diffutils 3.12-2
docker 1:29.6.1-1
docker-compose 5.3.1-1
duktape 2.7.0-7
dysk 1:3.6.1-1
e2fsprogs 1.47.4-1
ex-vi-compat 2-1
expat 2.8.2-1
fastfetch 2.65.2-1
fd 10.4.2-2
feh 3.12.2-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.10.0-3
fmt 12.2.0-1
fontconfig 2:2.18.1-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fzf 0.74.0-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 16.1.1+r346+g4e03491b401d-1
gcc-libs 16.1.1+r346+g4e03491b401d-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
giflib 6.1.3-1
git 2.55.0-1
glib2 2.88.2-1
glibc 2.43+r37+gfdf10644d6ee-1
glycin 2.1.5-1
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
go 2:1.26.5-1
gperftools 2.18.1-1
gpgme 2.1.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphite 1:1.3.15-1
grep 3.12-2
groff 1.24.1-1
gtest 1.17.0-2
guile 3.0.11-1
gzip 1.14-2
harfbuzz 14.2.1-1
hicolor-icon-theme 0.18-1
highway 1.4.0-1
htop 3.5.1-1
hugo 0.163.3-1
hwdata 0.409-1
iana-etc 20260530-1
icu 78.3-1
imlib2 1.12.6-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
jansson 2.15.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbigkit 2.1-8
jemalloc 1:5.3.1-2
json-c 0.19-1
jsoncpp 1.9.6-3
kbd 2.10.0-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.22.2-1
lazydocker 0.25.2-1
lazygit 0.63.0-1
lcms2 2.19.1-1
leancrypto 1.8.0-1
less 1:704-1
libarchive 3.8.8-2
libasan 16.1.1+r346+g4e03491b401d-1
libassuan 3.0.0-1
libatomic 16.1.1+r346+g4e03491b401d-1
libbpf 1.7.0-1
libbsd 0.12.2-2
libcap 2.78-1
libcap-ng 0.9.3-1
libdatrie 0.2.14-1
libdeflate 1.25-1
libedit 20260512_3.1-1
libelf 0.195-1
libevent 2.1.13-1
libexif 0.6.26-1
libffi 3.6.0-1
libgcc 16.1.1+r346+g4e03491b401d-1
libgcrypt 1.12.2-1
libgfortran 16.1.1+r346+g4e03491b401d-1
libgit2 1:1.9.4-1
libgomp 16.1.1+r346+g4e03491b401d-1
libgpg-error 1.61-1
libgudev 238-3
